Unnamed: 0,Weapon,Skin Name,Situation,StatTrak,Souvenir,Quantity,Lowest Price,Last Sold Price
138,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
62,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
215,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
135,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
307,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
128,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
320,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
8,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
70,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
291,AK-47,Point Disarray,Battle-Scarred, - , - ,127,$9.83 USD,$9.41 USD
64,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
5,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
42,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
119,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
306,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
25,AK-47,Slate,Factory New,StatTrak, - ,76,$51.12 USD,$48.90 USD
110,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
289,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
256,AK-47,Orbit Mk01,Well-Worn, - , - ,33,$15.58 USD,$14.91 USD
278,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
237,AK-47,Frontside Misty,Well-Worn,StatTrak, - ,25,$37.40 USD,$35.78 USD
262,AK-47,Point Disarray,Battle-Scarred, - , - ,126,$9.83 USD,$9.41 USD
297,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
210,AK-47,Jaguar,Well-Worn, - , - ,37,$32.39 USD,$30.99 USD
232,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
272,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
310,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
182,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
57,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
33,AK-47,Bloodsport,Factory New, - , - ,74,$171.12 USD,$163.68 USD
63,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
168,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
298,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
176,AK-47,First Class,Field-Tested, - , - ,19,$72.47 USD,$69.32 USD
111,AK-47,Jungle Spray,Minimal Wear, - , - ,103,$18.64 USD,$17.83 USD
271,AK-47,Point Disarray,Battle-Scarred, - , - ,126,$9.83 USD,$9.41 USD
45,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
222,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
309,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
140,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
147,AK-47,Safari Mesh,Field-Tested, - ,Souvenir,193,$12.25 USD,$11.72 USD
90,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
16,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
78,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
144,AK-47,Leet Museo,Field-Tested, - , - ,115,$26.33 USD,$25.19 USD
7,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
77,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
145,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
294,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
290,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
163,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
3,AK-47,Bloodsport,Factory New, - , - ,75,$170.98 USD,$163.55 USD
173,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
172,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
250,AK-47,Jaguar,Well-Worn, - , - ,38,$30.07 USD,$28.77 USD
60,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
275,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
75,AK-47,Redline,Minimal Wear, - , - ,95,$109.08 USD,$104.34 USD
184,AK-47,Neon Revolution,Field-Tested,StatTrak, - ,50,$48.69 USD,$46.58 USD
17,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
24,AK-47,Safari Mesh,Factory New, - , - ,160,$6.22 USD,$5.95 USD
180,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
118,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
231,AK-47,Jungle Spray,Well-Worn, - , - ,82,$7.54 USD,$7.22 USD
76,AK-47,Phantom Disruptor,Minimal Wear,StatTrak, - ,130,$25.25 USD,$24.16 USD
108,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
209,AK-47,Jungle Spray,Well-Worn, - , - ,82,$7.54 USD,$7.22 USD
132,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
113,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
322,AK-47,Neon Rider,Battle-Scarred, - , - ,61,$27.90 USD,$26.69 USD
126,AK-47,First Class,Field-Tested, - , - ,19,$72.47 USD,$69.32 USD
315,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
114,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
253,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
31,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
223,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
196,AK-47,Orbit Mk01,Well-Worn, - , - ,33,$15.58 USD,$14.91 USD
152,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
227,AK-47,Frontside Misty,Well-Worn,StatTrak, - ,25,$37.40 USD,$35.78 USD
109,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
143,AK-47,Aquamarine Revenge,Field-Tested, - , - ,113,$40.40 USD,$38.65 USD
59,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
116,AK-47,Phantom Disruptor,Minimal Wear,StatTrak, - ,130,$25.25 USD,$24.16 USD
15,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
6,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
203,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
93,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
30,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
22,AK-47,Cartel,Factory New, - , - ,160,$31.64 USD,$30.27 USD
281,AK-47,Point Disarray,Battle-Scarred, - , - ,126,$9.83 USD,$9.41 USD
255,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
56,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
221,AK-47,Jungle Spray,Well-Worn, - , - ,82,$7.54 USD,$7.22 USD
10,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
211,AK-47,Jungle Spray,Well-Worn, - , - ,82,$7.54 USD,$7.22 USD
220,AK-47,Jaguar,Well-Worn, - , - ,38,$30.07 USD,$28.77 USD
81,AK-47,Jungle Spray,Minimal Wear, - , - ,103,$18.64 USD,$17.83 USD
267,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
39,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
228,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
104,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
153,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
325,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
258,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
167,AK-47,The Empress,Field-Tested,StatTrak, - ,33,$104.14 USD,$99.62 USD
157,AK-47,The Empress,Field-Tested,StatTrak, - ,33,$104.14 USD,$99.62 USD
66,AK-47,Phantom Disruptor,Minimal Wear,StatTrak, - ,130,$25.25 USD,$24.16 USD
204,AK-47,Uncharted,Well-Worn,StatTrak, - ,96,$4.04 USD,$3.87 USD
18,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
312,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
246,AK-47,Orbit Mk01,Well-Worn, - , - ,33,$15.58 USD,$14.91 USD
19,AK-47,The Empress,Factory New,StatTrak, - ,7,$445.00 USD,$425.66 USD
165,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
92,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
79,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
69,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
158,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
202,AK-47,Black Laminate,Well-Worn, - ,Souvenir,9,$29.90 USD,$28.60 USD
72,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
96,AK-47,Phantom Disruptor,Minimal Wear,StatTrak, - ,130,$25.25 USD,$24.16 USD
97,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
313,AK-47,Redline,Battle-Scarred,StatTrak, - ,56,$25.24 USD,$24.15 USD
68,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
23,AK-47,Orbit Mk01,Factory New, - , - ,89,$24.00 USD,$22.96 USD
37,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
239,AK-47,Predator,Well-Worn, - , - ,83,$17.29 USD,$16.54 USD
67,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
285,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
194,AK-47,Redline,Well-Worn,StatTrak, - ,22,$51.37 USD,$49.14 USD
125,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
193,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
86,AK-47,Phantom Disruptor,Minimal Wear,StatTrak, - ,130,$25.25 USD,$24.16 USD
279,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
195,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
280,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
146,AK-47,Wasteland Rebel,Field-Tested, - , - ,93,$34.06 USD,$32.58 USD
244,AK-47,Redline,Well-Worn,StatTrak, - ,22,$51.37 USD,$49.14 USD
148,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
224,AK-47,Redline,Well-Worn,StatTrak, - ,22,$51.37 USD,$49.14 USD
155,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
266,AK-47,Cartel,Battle-Scarred, - , - ,131,$8.83 USD,$8.45 USD
129,AK-47,Asiimov,Field-Tested,StatTrak, - ,77,$80.17 USD,$76.69 USD
38,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
288,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
198,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
229,AK-47,Predator,Well-Worn, - , - ,83,$17.29 USD,$16.54 USD
112,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
197,AK-47,Frontside Misty,Well-Worn,StatTrak, - ,25,$37.40 USD,$35.78 USD
117,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
305,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
318,AK-47,Point Disarray,Battle-Scarred,StatTrak, - ,25,$23.35 USD,$22.34 USD
299,AK-47,Aquamarine Revenge,Battle-Scarred, - , - ,104,$20.60 USD,$19.71 USD
181,AK-47,Safari Mesh,Field-Tested, - ,Souvenir,193,$12.25 USD,$11.72 USD
206,AK-47,Phantom Disruptor,Well-Worn,StatTrak, - ,29,$20.58 USD,$19.69 USD
154,AK-47,Neon Revolution,Field-Tested,StatTrak, - ,50,$48.69 USD,$46.58 USD
208,AK-47,Jaguar,Well-Worn, - , - ,38,$31.44 USD,$30.08 USD
2,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
115,AK-47,Redline,Minimal Wear, - , - ,95,$109.08 USD,$104.34 USD
183,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
265,AK-47,Case Hardened,Battle-Scarred, - , - ,46,$202.10 USD,$193.32 USD
120,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
261,AK-47,Rat Rod,Battle-Scarred,StatTrak, - ,48,$11.91 USD,$11.40 USD
286,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
127,AK-47,The Empress,Field-Tested,StatTrak, - ,33,$104.14 USD,$99.62 USD
74,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
29,AK-47,Bloodsport,Factory New, - , - ,75,$170.98 USD,$163.55 USD
83,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
274,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
107,AK-47,Wasteland Rebel,Minimal Wear, - , - ,76,$58.19 USD,$55.66 USD
179,AK-47,Asiimov,Field-Tested,StatTrak, - ,77,$80.17 USD,$76.69 USD
185,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
133,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
225,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
44,AK-47,Elite Build,Factory New,StatTrak, - ,144,$27.79 USD,$26.59 USD
304,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
65,AK-47,Redline,Minimal Wear, - , - ,95,$109.08 USD,$104.34 USD
234,AK-47,Redline,Well-Worn,StatTrak, - ,22,$51.37 USD,$49.14 USD
85,AK-47,Redline,Minimal Wear, - , - ,95,$109.08 USD,$104.34 USD
186,AK-47,First Class,Field-Tested, - , - ,19,$72.47 USD,$69.32 USD
254,AK-47,Redline,Well-Worn,StatTrak, - ,22,$51.37 USD,$49.14 USD
159,AK-47,Asiimov,Field-Tested,StatTrak, - ,77,$80.17 USD,$76.69 USD
12,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
35,AK-47,Predator,Factory New, - , - ,16,$76.13 USD,$72.82 USD
28,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
170,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
142,AK-47,Legion of Anubis,Field-Tested,StatTrak, - ,89,$35.90 USD,$34.34 USD
226,AK-47,Orbit Mk01,Well-Worn, - , - ,33,$15.58 USD,$14.91 USD
131,AK-47,Safari Mesh,Field-Tested, - ,Souvenir,193,$12.25 USD,$11.72 USD
199,AK-47,Predator,Well-Worn, - , - ,83,$17.29 USD,$16.54 USD
51,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
95,AK-47,Redline,Minimal Wear, - , - ,95,$109.08 USD,$104.34 USD
247,AK-47,Frontside Misty,Well-Worn,StatTrak, - ,25,$37.40 USD,$35.78 USD
178,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
123,AK-47,Red Laminate,Field-Tested,StatTrak, - ,21,$125.46 USD,$120.01 USD
41,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
89,AK-47,Safari Mesh,Minimal Wear, - ,Souvenir,44,$22.32 USD,$21.35 USD
314,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
136,AK-47,First Class,Field-Tested, - , - ,19,$72.47 USD,$69.32 USD
26,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
323,AK-47,Redline,Battle-Scarred,StatTrak, - ,56,$25.24 USD,$24.15 USD
141,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
238,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
0,AK-47,Phantom Disruptor,Factory New,StatTrak, - ,76,$50.62 USD,$48.42 USD
296,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
283,AK-47,Redline,Battle-Scarred,StatTrak, - ,56,$25.24 USD,$24.15 USD
300,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
100,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
192,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
284,AK-47,Predator,Battle-Scarred, - , - ,105,$17.68 USD,$16.92 USD
218,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
213,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
103,AK-47,Redline,Minimal Wear,StatTrak, - ,12,$293.51 USD,$280.75 USD
171,AK-47,Safari Mesh,Field-Tested, - ,Souvenir,193,$12.25 USD,$11.72 USD
98,AK-47,Frontside Misty,Minimal Wear,StatTrak, - ,41,$76.87 USD,$73.53 USD
36,AK-47,Point Disarray,Factory New, - , - ,106,$36.64 USD,$35.05 USD
248,AK-47,Safari Mesh,Well-Worn, - ,Souvenir,32,$12.90 USD,$12.34 USD
61,AK-47,Jungle Spray,Minimal Wear, - , - ,103,$18.64 USD,$17.83 USD
150,AK-47,Black Laminate,Field-Tested, - , - ,145,$36.37 USD,$34.79 USD
47,AK-47,Case Hardened,Factory New, - , - ,24,$476.17 USD,$455.47 USD
240,AK-47,Jaguar,Well-Worn, - , - ,38,$30.07 USD,$28.77 USD
292,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
11,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
326,AK-47,Jungle Spray,Battle-Scarred, - , - ,74,$6.27 USD,$6.00 USD
200,AK-47,Fuel Injector,Well-Worn, - , - ,21,$146.01 USD,$139.67 USD
295,AK-47,Safari Mesh,Battle-Scarred, - ,Souvenir,44,$13.19 USD,$12.62 USD
27,AK-47,The Empress,Factory New, - , - ,36,$191.04 USD,$182.74 USD
277,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
230,AK-47,Jaguar,Well-Worn, - , - ,38,$30.07 USD,$28.77 USD
233,AK-47,Blue Laminate,Well-Worn, - , - ,73,$15.46 USD,$14.79 USD
4,AK-47,Elite Build,Factory New,StatTrak, - ,144,$27.79 USD,$26.59 USD
122,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
32,AK-47,Baroque Purple,Factory New, - , - ,100,$17.04 USD,$16.30 USD
245,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
162,AK-47,Cartel,Field-Tested,StatTrak, - ,99,$29.99 USD,$28.69 USD
249,AK-47,Predator,Well-Worn, - , - ,83,$17.29 USD,$16.54 USD
282,AK-47,Neon Rider,Battle-Scarred, - , - ,62,$27.90 USD,$26.69 USD
242,AK-47,Point Disarray,Well-Worn, - , - ,74,$17.27 USD,$16.52 USD
138,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
62,AK-47,Predator,Minimal Wear, - , - ,183,$18.89 USD,$18.07 USD
215,AK-47,Cartel,Well-Worn, - , - ,61,$11.81 USD,$11.30 USD
135,AK-47,Orbit Mk01,Field-Tested,StatTrak, - ,41,$33.18 USD,$31.74 USD
307,AK-47,Neon Revolution,Battle-Scarred,StatTrak, - ,29,$42.57 USD,$40.72 USD
128,AK-47,Point Disarray,Field-Tested,StatTrak, - ,69,$29.67 USD,$28.38 USD
320,AK-47,Black Laminate,Battle-Scarred, - , - ,26,$34.50 USD,$33.00 USD
8,AK-47,Point Disarray,Factory New,StatTrak, - ,21,$108.67 USD,$103.95 USD
70,AK-47,Black Laminate,Minimal Wear, - , - ,166,$40.57 USD,$38.81 USD
291,AK-47,Point Disarray,Battle-Scarred, - , - ,127,$9.83 USD,$9.41 USD
64,AK-47,Cartel,Minimal Wear,StatTrak, - ,46,$47.38 USD,$45.32 USD
